query_name,fasta_file,result_dir,returncode,elapsed_seconds,elapsed_minutes,n_pdb_files,n_score_json_files,success
Ly6a_mouse_pep_000,../data/processed/reward_guided_rl/cycle_01/alphafold_inputs/Ly6a_mouse_pep_000_complex.fasta,../data/processed/reward_guided_rl/cycle_01/alphafold_results/Ly6a_mouse_pep_000,0,7.381580240999028,0.1230263373499838,1,1,True
Ly6a_mouse_pep_001,../data/processed/reward_guided_rl/cycle_01/alphafold_inputs/Ly6a_mouse_pep_001_complex.fasta,../data/processed/reward_guided_rl/cycle_01/alphafold_results/Ly6a_mouse_pep_001,0,3.4562532780000765,0.05760422130000128,1,1,True
Ly6a_mouse_pep_002,../data/processed/reward_guided_rl/cycle_01/alphafold_inputs/Ly6a_mouse_pep_002_complex.fasta,../data/processed/reward_guided_rl/cycle_01/alphafold_results/Ly6a_mouse_pep_002,0,3.2662404109996714,0.05443734018332786,1,1,True
Ly6a_mouse_pep_003,../data/processed/reward_guided_rl/cycle_01/alphafold_inputs/Ly6a_mouse_pep_003_complex.fasta,../data/processed/reward_guided_rl/cycle_01/alphafold_results/Ly6a_mouse_pep_003,0,3.3204751319990464,0.055341252199984106,1,1,True
Ly6a_mouse_pep_004,../data/processed/reward_guided_rl/cycle_01/alphafold_inputs/Ly6a_mouse_pep_004_complex.fasta,../data/processed/reward_guided_rl/cycle_01/alphafold_results/Ly6a_mouse_pep_004,0,3.2437614890004625,0.054062691483341044,1,1,True
