gene,mean_expression,treatment,source_file,n_ec_cells
Ptprc,2.904777489193509e-17,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Aif1,8.453608452201143e-15,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Pdgfrb,0.003025425982498375,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Rgs5,0.12826617872109533,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Gfap,0.0,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Aqp4,0.0,D02,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,325
Cldn5,0.7835794147435228,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Pecam1,0.5591298662323543,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Cdh5,0.07282512087588011,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Kdr,0.245672028608913,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Flt1,1.0899855158928298,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Tek,0.18669736564533967,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Slc2a1,0.3993314466941565,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Mfsd2a,0.03641398463466318,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Abcb1a,0.5505010564614436,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Abcg2,0.3352137298776211,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Tfrc,0.06335485962785614,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Slc7a5,0.013378133727758503,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Vwf,0.14060613849319328,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Cav1,0.19570670608285426,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Plvap,0.01350947953905537,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Ptprc,3.309216816908492e-17,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Aif1,6.615273366107808e-19,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Pdgfrb,0.0,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Rgs5,0.16334990218201645,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Gfap,0.0,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Aqp4,0.0,D02,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,219
Cldn5,2.2351177440137104,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Pecam1,0.8211789397058823,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Cdh5,0.24950676465856825,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Kdr,0.26399154705882355,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Flt1,1.6663964959939819,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Tek,0.19556070539215684,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Slc2a1,1.3153607735294117,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Mfsd2a,0.04411764705882353,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Abcb1a,0.806946772042271,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Abcg2,0.40074030280649015,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Tfrc,0.07784173676470588,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Slc7a5,0.08797450735294117,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Vwf,0.3165798161764707,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Cav1,0.1802020035651159,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Plvap,0.06854485294117647,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Ptprc,0.0,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Aif1,4.38270450942276e-18,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Pdgfrb,0.004901960784313725,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Rgs5,0.02444267254901961,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Gfap,0.0,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Aqp4,0.0,D02,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,204
Cldn5,0.6750332814312413,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Pecam1,0.24376122780570436,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Cdh5,0.056583310821421005,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Kdr,0.17016695236211812,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Flt1,1.0995423904982127,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Tek,0.16450316523429773,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Slc2a1,0.44221219739211565,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Mfsd2a,0.04536205629625128,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Abcb1a,0.7487083345845987,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Abcg2,0.294444597226105,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Tfrc,0.1074989035677131,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Slc7a5,0.06235292765086513,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Vwf,0.07938841109249756,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Cav1,0.1021343306601815,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Plvap,0.0,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Ptprc,0.01092960563693232,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Aif1,5.841930019610126e-18,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Pdgfrb,0.0,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Rgs5,0.10195536985937864,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Gfap,0.0,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
Aqp4,0.0,D14,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,176
