gene,mean_expression,treatment,source_file,n_ec_cells
Abcb1a,0.9713745731977274,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Abcg2,0.341942695021069,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Tfrc,0.27547290815325187,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Slc7a5,0.04883214875674357,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Vwf,0.029674485384849795,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Cav1,0.10343279714185767,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Plvap,0.09769031952618357,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Ptprc,0.013182757492438014,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Aif1,0.013502252873658355,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Pdgfrb,0.0,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Rgs5,0.15342104291378075,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Gfap,0.0,Sham,GSM7060818_Brain_GR190110_metadata.csv.gz,295
Cldn5,4.1338538520288886,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Pecam1,1.531881883177146,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Cdh5,0.6537039915039601,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Kdr,0.8236745504718821,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Flt1,2.8617195660953145,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Tek,0.5972580443342244,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Slc2a1,1.7939422935353035,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Mfsd2a,0.15494861705732615,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Abcb1a,1.1611417821379924,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Abcg2,0.7286088014560219,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Tfrc,0.2556900701616657,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Slc7a5,0.15148970366983536,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Vwf,0.42549541188138845,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Cav1,0.6531458077383632,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Plvap,0.11346151710130524,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Ptprc,3.869369567150804e-17,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
Aif1,1.930834080888389e-17,D02,GSM7060819_Brain_GR180426_metadata.csv.gz,360
