gene,mean_D02,mean_Sham,effect_D02_vs_Sham,log2fc_proxy_D02_vs_Sham,pvalue_D02_vs_Sham,uniprot_accession,protein_name,subcellular_location_text,keywords_text,uniprot_status,surface_accessibility,targetability_score,targetability_comment
Arpc1b,0.7469547294674168,0.26652676777686096,0.48042796169055585,1.4867368942435808,0.014588869818487966,Q9WV32,Actin-related protein 2/3 complex subunit 1B,"Cytoplasm, cytoskeleton | Nucleus",3D-structure | Actin-binding | Cytoplasm | Cytoskeleton | Nucleus | Reference proteome | Repeat | WD repeat,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Fxyd5,0.9202252189671761,0.4456959575452813,0.47452926142189483,1.0459254493726466,0.030092874809447254,P97808,FXYD domain-containing ion transport regulator 5,Cell membrane; Single-pass type I membrane protein | Basolateral cell membrane; Single-pass type I membrane protein,Cell membrane | Glycoprotein | Ion transport | Membrane | Potassium | Potassium transport | Reference proteome | Signal | Sodium | Sodium transport | Sodium/potassium transport | Transmembrane | Transmembrane helix | Transport,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Myl6,1.029494474027407,0.5562700785441475,0.47322439548325956,0.8880774829152429,0.058037403224376435,Q60605,Myosin light polypeptide 6,,Acetylation | Alternative splicing | Direct protein sequencing | Motor protein | Muscle protein | Myosin | Phosphoprotein | Reference proteome | Repeat,found,unknown,0.0,manual annotation required
Atox1,1.0285193209241104,0.5568006973819771,0.47171862354213323,0.8853347838096707,0.02349546169219708,O08997,Copper transport protein ATOX1,,Acetylation | Chaperone | Copper | Copper transport | Ion transport | Metal-binding | Phosphoprotein | Reference proteome | Transport,found,unknown,0.0,manual annotation required
Atp5e,0.6523426972641261,0.18200219351547453,0.47034050374865155,1.841668505866673,0.001524256431951142,P56382,"ATP synthase F(1) complex subunit epsilon, mitochondrial",Mitochondrion | Mitochondrion inner membrane,Acetylation | ATP synthesis | CF(1) | Hydrogen ion transport | Ion transport | Membrane | Mitochondrion | Mitochondrion inner membrane | Reference proteome | Transport,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Cldn5,2.2773356460103518,1.8130871521462397,0.46424849386411204,0.32889850236168944,0.4816009644570961,O54942,Claudin-5,"Cell junction, tight junction | Cell membrane; Multi-pass membrane protein",Cell junction | Cell membrane | Membrane | Reference proteome | Tight junction | Transmembrane | Transmembrane helix,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Chchd2,0.849630173779083,0.38566754382176843,0.4639626299573146,1.1394752203487728,0.03300952740316736,Q9D1L0,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2,Nucleus | Mitochondrion | Mitochondrion intermembrane space,Activator | Disulfide bond | Mitochondrion | Nucleus | Reference proteome | Transcription,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Pdia3,0.6298029151441803,0.17544533531321801,0.45435757983096225,1.8438729126029094,0.01849459574429325,P27773,Protein disulfide-isomerase A3,Endoplasmic reticulum | Endoplasmic reticulum lumen | Melanosome,Acetylation | Adaptive immunity | Direct protein sequencing | Disulfide bond | Endoplasmic reticulum | Immunity | Isomerase | Methylation | Phosphoprotein | Redox-active center | Reference proteome | Repeat | Signal,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Cox6c,0.7900572511120999,0.33724498558455834,0.45281226552754156,1.2281577572089954,0.0032877587265848275,Q9CPQ1,Cytochrome c oxidase subunit 6C,Mitochondrion inner membrane; Single-pass membrane protein,3D-structure | Acetylation | Direct protein sequencing | Membrane | Mitochondrion | Mitochondrion inner membrane | Reference proteome | Transmembrane | Transmembrane helix,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Cdc42,0.7321413560874065,0.28672516167598067,0.4454161944114258,1.3524506441032218,0.006836190157232105,P60766,Cell division control protein 42 homolog,"Cell membrane; Lipid-anchor; Cytoplasmic side | Midbody | Cytoplasm, cytoskeleton, microtubule organizing center, centrosome | Cytoplasm, cytoskeleton, spindle | Cytoplasm | Cell projection, lamellipodium membrane; Peripheral membrane protein; Cytoplasmic side | Cell projection, dendrite",3D-structure | Alternative splicing | Cell membrane | Cell projection | Cytoplasm | Cytoskeleton | Differentiation | Direct protein sequencing | GTP-binding | Hydrolase | Lipoprotein | Membrane | Methylation | Neurogenesis | Nucleotide-binding | Phosphoprotein | Prenylation | Reference proteome | Ubl conjugation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Txn1,0.5990752442989541,0.15600147730170602,0.4430737669972481,1.9411706870691143,0.008161713634906965,P10639,Thioredoxin,Nucleus | Cytoplasm | Secreted,Acetylation | Activator | Cytoplasm | Disulfide bond | Electron transport | Nucleus | Redox-active center | Reference proteome | S-nitrosylation | Secreted | Transcription | Transcription regulation | Transport,found,secreted_or_extracellular_mixed,0.5,"possible extracellular context marker, but not a clean direct receptor"
Id3,1.4277921638704434,0.988151379366052,0.43964078450439137,0.5309815628193529,0.12529507029987783,P41133,DNA-binding protein inhibitor ID-3,Nucleus | Cytoplasm,Biological rhythms | Cytoplasm | Developmental protein | Myogenesis | Nucleus | Reference proteome | Repressor | Transcription | Transcription regulation | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Canx,0.6559538338376557,0.22142711842839016,0.4345267154092656,1.5667580437831585,0.023236171618748844,P35564,Calnexin,Endoplasmic reticulum membrane; Single-pass type I membrane protein | Mitochondrion membrane; Single-pass type I membrane protein | Melanosome membrane; Single-pass type I membrane protein,Acetylation | Calcium | Chaperone | Disulfide bond | Endoplasmic reticulum | Lectin | Lipoprotein | Membrane | Metal-binding | Mitochondrion | Palmitate | Phosphoprotein | Reference proteome | Repeat | Signal | Transmembrane | Transmembrane helix | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Ptma,1.055749210966086,0.6213042061443471,0.43444500482173887,0.7648944871127759,0.11490603284137366,P26350,Prothymosin alpha,Nucleus,3D-structure | Acetylation | Direct protein sequencing | Isopeptide bond | Nucleus | Phosphoprotein | Reference proteome | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Serbp1,0.754669792197048,0.3248553137521892,0.4298144784448588,1.2160456940954594,0.07770976982124336,Q9CY58,SERPINE1 mRNA-binding protein 1,"Cytoplasm | Nucleus | Cytoplasm, perinuclear region",3D-structure | Acetylation | Alternative splicing | Cytoplasm | Isopeptide bond | Methylation | Nucleus | Phosphoprotein | Reference proteome | RNA-binding | Translation regulation | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Hnrnpa2b1,0.8596051051957987,0.43038408606137973,0.42922101913441896,0.9980476435751582,0.16979369557588483,O88569,Heterogeneous nuclear ribonucleoproteins A2/B1,"Nucleus | Nucleus, nucleoplasm | Cytoplasm | Cytoplasmic granule | Secreted, extracellular exosome",Acetylation | Alternative splicing | Cytoplasm | Direct protein sequencing | Isopeptide bond | Methylation | mRNA processing | mRNA splicing | mRNA transport | Nucleus | Phosphoprotein | Reference proteome | Repeat | Ribonucleoprotein | RNA-binding | Secreted | Spliceosome | Transport | Ubl conjugation,found,secreted_or_extracellular_mixed,0.5,"possible extracellular context marker, but not a clean direct receptor"
Vwa1,0.7373507346010602,0.3090541036185826,0.42829663098247756,1.2544888945661945,0.027357962949195045,Q8R2Z5,von Willebrand factor A domain-containing protein 1,"Secreted, extracellular space, extracellular matrix, basement membrane",Alternative splicing | Basement membrane | Disulfide bond | Extracellular matrix | Glycoprotein | Phosphoprotein | Reference proteome | Repeat | Secreted | Signal,found,secreted_or_extracellular,1.0,"useful EC/stroke context marker, usually not a direct receptor"
Col4a2,0.5024157151618512,0.07536717546696015,0.4270485396948911,2.7368570897352713,0.052474529082368215,P08122,Collagen alpha-2(IV) chain,"Secreted, extracellular space, extracellular matrix, basement membrane",Angiogenesis | Basement membrane | Bromination | Collagen | Disulfide bond | Extracellular matrix | Glycoprotein | Hydroxylation | Reference proteome | Repeat | Secreted | Signal,found,secreted_or_extracellular,1.0,"useful EC/stroke context marker, usually not a direct receptor"
Psma7,0.7408049579262682,0.3139405216606432,0.42686443626562504,1.2385998502491857,0.016137387352669817,Q9Z2U0,Proteasome subunit alpha type-7,Cytoplasm | Nucleus,3D-structure | Acetylation | Cytoplasm | Direct protein sequencing | Glycoprotein | Nucleus | Phosphoprotein | Proteasome | Reference proteome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Ifitm2,0.6217249420572613,0.196542674891236,0.42518226716602525,1.6614288417042606,0.009213633197904594,Q99J93,Interferon-induced transmembrane protein 2,Cell membrane; Single-pass type II membrane protein | Lysosome membrane; Single-pass type II membrane protein | Late endosome membrane; Single-pass type II membrane protein,Acetylation | Antiviral defense | Cell membrane | Endosome | Immunity | Innate immunity | Lipoprotein | Lysosome | Membrane | Palmitate | Phosphoprotein | Reference proteome | Transmembrane | Transmembrane helix,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Cox4i1,0.8109497211221963,0.3931895606729947,0.4177601604492016,1.044385561839566,0.007009444342078413,P19783,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",Mitochondrion inner membrane; Single-pass membrane protein,3D-structure | Acetylation | Direct protein sequencing | Membrane | Mitochondrion | Mitochondrion inner membrane | Phosphoprotein | Reference proteome | Transit peptide | Transmembrane | Transmembrane helix,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Gnai2,0.7583502004942531,0.3413189998166901,0.41703120067756294,1.151741178193167,0.027217656636750052,P08752,Guanine nucleotide-binding protein G(i) subunit alpha-2,"Cytoplasm | Cytoplasm, cytoskeleton, microtubule organizing center, centrosome | Cell membrane | Membrane; Lipid-anchor",ADP-ribosylation | Cell cycle | Cell division | Cell membrane | Cytoplasm | Cytoskeleton | Direct protein sequencing | GTP-binding | Hydrolase | Lipoprotein | Magnesium | Membrane | Metal-binding | Myristate | Nucleotide-binding | Palmitate | Reference proteome | Transducer,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Col4a1,0.5130856260369131,0.09888866237248285,0.41419696366443026,2.3753108021762555,0.03560053376408184,P02463,Collagen alpha-1(IV) chain,"Secreted, extracellular space, extracellular matrix, basement membrane",Angiogenesis | Basement membrane | Collagen | Disulfide bond | Extracellular matrix | Glycoprotein | Hydroxylation | Reference proteome | Repeat | Secreted | Signal,found,secreted_or_extracellular,1.0,"useful EC/stroke context marker, usually not a direct receptor"
Mt1,0.7936596178910473,0.3903204491289209,0.40333916876212644,1.023859474898206,0.20086615750403464,P02802,Metallothionein-1,,3D-structure | Acetylation | Direct protein sequencing | Metal-binding | Metal-thiolate cluster | Reference proteome,found,unknown,0.0,manual annotation required
1810037I17Rik,0.6874268940553866,0.28415499813964523,0.40327189591574136,1.2745252247458312,0.0036191344758907808,,,,,not_found,unknown,0.0,manual annotation required
Pecam1,0.7779820011163301,0.3777299019439422,0.4002520991723879,1.0423798181096495,0.025715399656440062,Q08481,Platelet endothelial cell adhesion molecule,Cell membrane; Single-pass type I membrane protein | Membrane raft | Cell junction,Alternative splicing | Cell adhesion | Cell junction | Cell membrane | Direct protein sequencing | Disulfide bond | Glycoprotein | Immunoglobulin domain | Lipoprotein | Membrane | Palmitate | Phosphoprotein | Reference proteome | Repeat | Signal | Transmembrane | Transmembrane helix,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Nfkbia,1.1795939901941381,0.7798348241358343,0.39975916605830386,0.5970492643537015,0.0988124887029916,Q9Z1E3,NF-kappa-B inhibitor alpha,Cytoplasm | Nucleus,ANK repeat | Cytoplasm | Hydroxylation | Isopeptide bond | Nucleus | Phosphoprotein | Reference proteome | Repeat | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Cox6a1,0.689403712679424,0.30065936848302455,0.38874434419639947,1.1972164490722865,0.014607345539588243,P43024,"Cytochrome c oxidase subunit 6A1, mitochondrial",Mitochondrion inner membrane; Single-pass membrane protein,Direct protein sequencing | Membrane | Mitochondrion | Mitochondrion inner membrane | Oxidoreductase | Reference proteome | Transit peptide | Transmembrane | Transmembrane helix,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Cd81,0.6190794453540295,0.23124169311417028,0.38783775223985917,1.4207191105935022,0.06144308386173802,P35762,CD81 antigen,Cell membrane; Multi-pass membrane protein | Basolateral cell membrane; Multi-pass membrane protein,3D-structure | Adaptive immunity | Cell membrane | Direct protein sequencing | Disulfide bond | Immunity | Lipid-binding | Membrane | Reference proteome | Transmembrane | Transmembrane helix,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Cox6b1,0.6061545616603479,0.2235308117533675,0.38262374990698034,1.4392079274402048,0.004980608165442609,P56391,Cytochrome c oxidase subunit 6B1,Mitochondrion inner membrane; Peripheral membrane protein; Intermembrane side,3D-structure | Acetylation | Direct protein sequencing | Disulfide bond | Membrane | Mitochondrion | Mitochondrion inner membrane | Reference proteome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Esd,0.4316823646062743,0.0571785749579328,0.3745037896483415,2.9164016971227635,0.0015867819267654812,Q9R0P3,S-formylglutathione hydrolase,Cytoplasm | Cytoplasmic vesicle,Acetylation | Cytoplasm | Cytoplasmic vesicle | Hydrolase | Reference proteome | Serine esterase,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Tuba1a,0.5840148668811722,0.21018703465753574,0.37382783222363647,1.474327022056612,0.008013950706160788,P68369,Tubulin alpha-1A chain,"Cytoplasm, cytoskeleton | Cytoplasm, cytoskeleton, flagellum axoneme",3D-structure | Acetylation | Cell projection | Cilium | Cytoplasm | Cytoskeleton | Direct protein sequencing | Flagellum | GTP-binding | Hydrolase | Isopeptide bond | Magnesium | Metal-binding | Methylation | Microtubule | Nitration | Nucleotide-binding | Phosphoprotein | Reference proteome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Cox7a2,0.6172536069074427,0.244439877521631,0.3728137293858117,1.3363801337299415,0.0008706072871411201,P48771,"Cytochrome c oxidase subunit 7A2, mitochondrial",Mitochondrion inner membrane; Single-pass membrane protein,3D-structure | Acetylation | Direct protein sequencing | Membrane | Mitochondrion | Mitochondrion inner membrane | Oxidoreductase | Reference proteome | Transit peptide | Transmembrane | Transmembrane helix,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Sem1,0.618361074106728,0.24983908790813603,0.368521986198592,1.3074468553183216,0.0037339400400759172,P60897,26S proteasome complex subunit SEM1,Nucleus,Nucleus | Proteasome | Reference proteome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Ldha,0.5776510605591133,0.20992864666376743,0.3677224138953459,1.4602948489899226,0.006554224593401272,P06151,L-lactate dehydrogenase A chain,Cytoplasm,Acetylation | Cytoplasm | Direct protein sequencing | Isopeptide bond | NAD | Oxidoreductase | Phosphoprotein | Reference proteome | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Eif1,0.8473547355412653,0.4852196590140423,0.362135076527223,0.8043267899521723,0.0356824784176909,P48024,Eukaryotic translation initiation factor 1,Cytoplasm,Acetylation | Cytoplasm | Initiation factor | Phosphoprotein | Protein biosynthesis | Reference proteome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Srgn,0.8678972926978881,0.5065919901872459,0.3613053025106422,0.7766988715937213,0.07109435414710506,P13609,Serglycin,"Cytoplasmic granule | Cytolytic granule | Secreted, extracellular space | Golgi apparatus",Apoptosis | Biomineralization | Direct protein sequencing | Disulfide bond | Glycoprotein | Golgi apparatus | Lysosome | Proteoglycan | Reference proteome | Repeat | Secreted | Signal,found,secreted_or_extracellular_mixed,0.5,"possible extracellular context marker, but not a clean direct receptor"
Eng,0.5889865697836992,0.22915835167010837,0.3598282181135909,1.3618860259310779,0.020718906567587927,Q63961,Endoglin,Cell membrane; Single-pass type I membrane protein,Angiogenesis | Cell adhesion | Cell membrane | Disulfide bond | Glycoprotein | Membrane | Phosphoprotein | Reference proteome | Signal | Transmembrane | Transmembrane helix,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Rab11a,0.5710843177826328,0.212751894239713,0.35833242354291983,1.4245275362325138,0.004830983562767517,P62492,Ras-related protein Rab-11A,"Cell membrane; Lipid-anchor | Endosome membrane; Lipid-anchor | Recycling endosome membrane; Lipid-anchor | Cleavage furrow | Cytoplasmic vesicle, phagosome membrane; Lipid-anchor | Golgi apparatus membrane; Lipid-anchor | Golgi apparatus, trans-Golgi network | Cytoplasmic vesicle membrane; Lipid-anchor | Cell projection, cilium",Acetylation | Cell cycle | Cell membrane | Cell projection | Cytoplasmic vesicle | Direct protein sequencing | Endosome | Golgi apparatus | GTP-binding | Hydrolase | Lipoprotein | Magnesium | Membrane | Metal-binding | Methylation | Nucleotide-binding | Prenylation | Protein transport | Reference proteome | Transport,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Tagln2,0.5371331461028115,0.19089889265405421,0.34623425344875725,1.4924661463430582,0.032295763613653834,Q9WVA4,Transgelin-2,,Acetylation | Direct protein sequencing | Isopeptide bond | Methylation | Phosphoprotein | Reference proteome | Ubl conjugation,found,unknown,0.0,manual annotation required
Ramp2,0.9027030273097358,0.5583424572567377,0.34436057005299814,0.6931001948008313,0.20943445717901807,Q9WUP0,Receptor activity-modifying protein 2,Cell membrane; Single-pass type I membrane protein,Cell membrane | Disulfide bond | Glycoprotein | Membrane | Receptor | Reference proteome | Signal | Transmembrane | Transmembrane helix | Transport,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Cfl1,0.5733710971004047,0.2334589684260654,0.3399121286743393,1.2962965071409094,0.05283574942752187,P18760,Cofilin-1,"Nucleus matrix | Cytoplasm, cytoskeleton | Cell projection, ruffle membrane; Peripheral membrane protein; Cytoplasmic side | Cell projection, lamellipodium membrane; Peripheral membrane protein; Cytoplasmic side | Cell projection, lamellipodium | Cell projection, growth cone | Cell projection, axon",Acetylation | Actin-binding | Cell membrane | Cell projection | Cytoplasm | Cytoskeleton | Direct protein sequencing | Isopeptide bond | Membrane | Nucleus | Phosphoprotein | Reference proteome | Ubl conjugation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Sec61b,0.4518758957594283,0.1123291984483477,0.3395466973110806,2.0081839657648906,0.0005388728051275293,Q9CQS8,Protein transport protein Sec61 subunit beta,Endoplasmic reticulum membrane; Single-pass membrane protein,Acetylation | Direct protein sequencing | Endoplasmic reticulum | Lipoprotein | Membrane | Palmitate | Phosphoprotein | Protein transport | Reference proteome | Translocation | Transmembrane | Transmembrane helix | Transport,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Id1,0.8265148206670908,0.4885826329497784,0.3379321877173124,0.7584368993682435,0.05462934779567917,P20067,DNA-binding protein inhibitor ID-1,Cytoplasm | Nucleus,3D-structure | Alternative splicing | Biological rhythms | Cytoplasm | Developmental protein | Nucleus | Reference proteome | Repressor | Transcription | Transcription regulation | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Eef1b2,0.5028691409950189,0.16561841210149694,0.3372507288935219,1.6023141130848524,0.04212608819468201,O70251,Elongation factor 1-beta,,Acetylation | Direct protein sequencing | Elongation factor | Isopeptide bond | Phosphoprotein | Protein biosynthesis | Reference proteome | Ubl conjugation,found,unknown,0.0,manual annotation required
Hint1,0.49386177882303794,0.15887637132560398,0.334985407497434,1.6361965822226456,0.001401772469239558,P70349,Adenosine 5'-monophosphoramidase HINT1,Cytoplasm | Nucleus,Acetylation | Apoptosis | Cytoplasm | Direct protein sequencing | Hydrolase | Nucleotide-binding | Nucleus | Phosphoprotein | Protease | Reference proteome | Thiol protease | Transcription | Transcription regulation | Ubl conjugation pathway,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Npm1,0.44722654197332956,0.11654017533303335,0.3306863666402962,1.9401692719258505,0.03072246951055785,Q61937,Nucleophosmin,"Nucleus, nucleolus | Nucleus, nucleoplasm | Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",3D-structure | Acetylation | ADP-ribosylation | Chaperone | Cytoplasm | Cytoskeleton | Direct protein sequencing | Disulfide bond | DNA-binding | Isopeptide bond | Nucleus | Phosphoprotein | Reference proteome | RNA-binding | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
