gene,mean_D02,mean_Sham,effect_D02_vs_Sham,log2fc_proxy_D02_vs_Sham,pvalue_D02_vs_Sham,uniprot_accession,protein_name,subcellular_location_text,keywords_text,uniprot_status,surface_accessibility,targetability_score,targetability_comment
Eef1a1,1.7177936583627962,0.6177599622674385,1.1000336960953576,1.4754369782389405,0.022715015550901444,P10126,Elongation factor 1-alpha 1,"Cytoplasm | Nucleus | Nucleus, nucleolus | Cell membrane",Acetylation | Cell membrane | Cytoplasm | Direct protein sequencing | Elongation factor | GTP-binding | Hydrolase | Isopeptide bond | Membrane | Methylation | Nucleotide-binding | Nucleus | Phosphoprotein | Protein biosynthesis | Reference proteome | Ubl conjugation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Tm4sf1,1.42194272626162,0.35531072093964505,1.0666320053219749,2.000707185258704,0.0037309255148624152,Q64302,Transmembrane 4 L6 family member 1,Membrane; Multi-pass membrane protein,Glycoprotein | Membrane | Reference proteome | Transmembrane | Transmembrane helix,found,membrane_unknown_location,2.0,"possible target, but needs topology/extracellular-domain check"
Mgp,1.5703906248193888,0.5050854592982496,1.0653051655211394,1.636522113136357,0.002116510226489134,P19788,Matrix Gla protein,Secreted,Chondrogenesis | Developmental protein | Differentiation | Disulfide bond | Gamma-carboxyglutamic acid | Osteogenesis | Phosphoprotein | Reference proteome | Secreted | Signal,found,secreted_or_extracellular,1.0,"useful EC/stroke context marker, usually not a direct receptor"
Ly6e,2.4061691077031546,1.3522093418690442,1.0539597658341104,0.831419053336532,0.10869224183353453,Q64253,Lymphocyte antigen 6E,"Cell membrane; Lipid-anchor, GPI-anchor",Cell membrane | Disulfide bond | Glycoprotein | GPI-anchor | Lipoprotein | Membrane | Reference proteome | Signal,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Ftl1,1.4622487258905026,0.45093874215607377,1.0113099837344288,1.6971831505530133,0.011466901426878095,P29391,Ferritin light chain 1,"Cytoplasm | Cytoplasmic vesicle, autophagosome | Autolysosome",3D-structure | Cytoplasm | Cytoplasmic vesicle | Direct protein sequencing | Iron | Iron storage | Lysosome | Metal-binding | Reference proteome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Hsp90b1,1.3354270010502947,0.4397273564899426,0.895699644560352,1.6026177210260346,0.05581463721332382,P08113,Endoplasmin,Endoplasmic reticulum lumen | Sarcoplasmic reticulum lumen | Melanosome,Acetylation | ATP-binding | Calcium | Chaperone | Direct protein sequencing | Disulfide bond | Endoplasmic reticulum | Glycoprotein | Hydrolase | Hydroxylation | Nucleotide-binding | Phosphoprotein | Reference proteome | Sarcoplasmic reticulum | Signal,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Egfl7,1.5133544501243035,0.6734146151834852,0.8399398349408183,1.1681818011539333,0.016950794131199612,Q9QXT5,Epidermal growth factor-like protein 7,"Secreted, extracellular space",Alternative splicing | Angiogenesis | Calcium | Cell adhesion | Coiled coil | Developmental protein | Differentiation | Disulfide bond | EGF-like domain | Reference proteome | Repeat | Secreted | Signal,found,secreted_or_extracellular,1.0,"useful EC/stroke context marker, usually not a direct receptor"
Ppia,1.2322020292468407,0.3923354449671372,0.8398665842797035,1.651076725725373,0.0384699847194041,P17742,Peptidyl-prolyl cis-trans isomerase A,Cytoplasm | Secreted | Nucleus,3D-structure | Acetylation | Apoptosis | Cytoplasm | Direct protein sequencing | Glycoprotein | Isomerase | Isopeptide bond | Nucleus | Phosphoprotein | Reference proteome | Rotamase | Secreted | Ubl conjugation,found,secreted_or_extracellular_mixed,0.5,"possible extracellular context marker, but not a clean direct receptor"
Fkbp1a,0.9775275157786228,0.14008967363190694,0.8374378421467159,2.8027778750466017,0.0014693566254318695,P26883,Peptidyl-prolyl cis-trans isomerase FKBP1A,"Cytoplasm, cytosol | Sarcoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side",3D-structure | Acetylation | Cytoplasm | Isomerase | Membrane | Reference proteome | Rotamase | Sarcoplasmic reticulum,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Pabpc1,1.1008907398946408,0.299822834687631,0.8010679052070098,1.8764856224058888,0.13908297775444975,P29341,Polyadenylate-binding protein 1,"Cytoplasm | Cytoplasm, Stress granule | Nucleus | Cell projection, lamellipodium",Acetylation | Cell projection | Cytoplasm | Methylation | mRNA processing | mRNA splicing | Nonsense-mediated mRNA decay | Nucleus | Phosphoprotein | Reference proteome | Repeat | RNA-binding | Spliceosome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
