gene,mean_D14,mean_Sham,effect_D14_vs_Sham,log2fc_proxy_D14_vs_Sham,pvalue_D14_vs_Sham
Ctla2a,0.7302972657264373,0.4779164653645989,0.25238080036183835,0.6117243130929558,0.18577674394904817
Ubb,0.9894845541984101,0.7394235241632114,0.25006103003519864,0.42027575154006797,0.41022455091522725
Rps3,0.8304990909433856,0.5821621705180063,0.24833692042537925,0.5125567532691878,0.21870740395267158
Ubc,0.47605188395617704,0.2346934123906541,0.24135847156552293,1.020338354571522,0.210895326806164
Ier2,0.4184411360555161,0.17786314029361772,0.24057799576189837,1.2342524606284813,0.132594432984002
Rps21,0.7835203626718337,0.5437798928803238,0.23974046979150987,0.5269471507371589,0.1294896750872686
Rpl32,0.6538411641931507,0.4160760129371745,0.23776515125597625,0.6520918290841605,0.14269829081631066
Atox1,0.7871632437449796,0.5568006973819771,0.23036254636300246,0.49950107981429936,0.26171939096601876
Rpl8,0.64626079421036,0.4218346977775514,0.22442609643280859,0.6154375165701716,0.17259747253245752
Tspan13,0.6533694913734476,0.43359877931841434,0.21977071205503323,0.5915372763773108,0.2445033536087195
Id3,1.2059721909547396,0.988151379366052,0.2178208115886876,0.2873923993652793,0.42770179880347475
Rps15,0.7177218835861068,0.5003272050658405,0.21739467852026628,0.5205521358932357,0.23507751644121166
Abcb1a,1.268677308037677,1.0543009957954108,0.21437631224226616,0.26703812526158205,0.4173864125527711
Vim,0.5791962090209417,0.36595793996871523,0.21323826905222648,0.662372861099223,0.21069940308078874
Rsrp1,0.6057866392462777,0.39294001662793415,0.21284662261834358,0.6244993715890506,0.18439387075643912
Tpt1,0.6065645683193592,0.3939360941080338,0.2126284742113254,0.6226983345917958,0.4108504699634791
Apoe,0.5577535509800412,0.3496179748478885,0.20813557613215272,0.6738468938830063,0.3695547897015871
Srgn,0.7125866017236173,0.5065919901872459,0.20599461153637144,0.49224026793641257,0.266153874019269
mt-Cytb,1.6174031801703457,1.4167648741565853,0.20063830601376043,0.191078877990319,0.5725119821930218
App,1.6497041102646761,1.4494770680587836,0.2002270422058925,0.18667465719592005,0.48676569808843473
Eef1a1,0.8174127925922745,0.6177599622674385,0.19965283032483605,0.4040178801729744,0.3637445281079747
Myl12a,0.676658482323276,0.4770845323898447,0.19957394993343125,0.5041820667479199,0.28284422681154586
Laptm4a,0.5488491813178775,0.34982998609599497,0.19901919522188255,0.649754312130986,0.2512007957747331
Pabpc1,0.4969064062918743,0.299822834687631,0.19708357160424333,0.7288619692794956,0.21754916222948045
