query_name,fasta_file,result_dir,returncode,elapsed_seconds,elapsed_minutes,n_pdb_files,n_score_json_files,success
Ly6a_mouse_pep_000,../data/processed/reward_guided_rl/cycle_02/alphafold_inputs/Ly6a_mouse_pep_000_complex.fasta,../data/processed/reward_guided_rl/cycle_02/alphafold_results/Ly6a_mouse_pep_000,0,3.7873307790014223,0.0631221796500237,1,1,True
Ly6a_mouse_pep_001,../data/processed/reward_guided_rl/cycle_02/alphafold_inputs/Ly6a_mouse_pep_001_complex.fasta,../data/processed/reward_guided_rl/cycle_02/alphafold_results/Ly6a_mouse_pep_001,0,3.504442593000931,0.058407376550015516,1,1,True
Ly6a_mouse_pep_002,../data/processed/reward_guided_rl/cycle_02/alphafold_inputs/Ly6a_mouse_pep_002_complex.fasta,../data/processed/reward_guided_rl/cycle_02/alphafold_results/Ly6a_mouse_pep_002,0,3.2551616140008264,0.054252693566680436,1,1,True
Ly6a_mouse_pep_003,../data/processed/reward_guided_rl/cycle_02/alphafold_inputs/Ly6a_mouse_pep_003_complex.fasta,../data/processed/reward_guided_rl/cycle_02/alphafold_results/Ly6a_mouse_pep_003,0,3.3708807609982614,0.05618134601663769,1,1,True
Ly6a_mouse_pep_004,../data/processed/reward_guided_rl/cycle_02/alphafold_inputs/Ly6a_mouse_pep_004_complex.fasta,../data/processed/reward_guided_rl/cycle_02/alphafold_results/Ly6a_mouse_pep_004,0,3.5789434060006897,0.059649056766678164,1,1,True
